Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,LSRAM 18K,Math (18x18),Chip Globals,PLL
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_rdFIFORAM/mem_mem_0_2/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_rdFIFORAM/mem_mem_0_3/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_rdFIFORAM/mem_mem_0_4/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_rdFIFORAM/mem_mem_0_5/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_wrFIFORAM/Primitives,0,69,0,0,0,0,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_wrFIFORAM/mem_mem_0_0/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_wrFIFORAM/mem_mem_0_1/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_wrFIFORAM/mem_mem_0_2/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_wrFIFORAM/mem_mem_0_3/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_wrFIFORAM/mem_mem_0_4/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_wrFIFORAM/mem_mem_0_5/Primitives,0,0,12,12,0,1,0,0,0,0
CoreGPIO_IN_inst_0/CoreGPIO_IN_0/Primitives,1,8,0,0,0,0,0,0,0,0
CoreGPIO_OUT_inst_0/CoreGPIO_OUT_0/Primitives,1,4,0,0,0,0,0,0,0,0
CoreJTAGDebug_0_inst_0/CoreJTAGDebug_0_0/Primitives,41,0,0,0,0,0,0,0,2,0
CoreJTAGDebug_0_inst_0/CoreJTAGDebug_0_0/genblk2.genblk2[0].BUFD_TRST/Primitives,35,0,0,0,0,0,0,0,0,0
CoreJTAGDebug_0_inst_0/CoreJTAGDebug_0_0/genblk3.genblk1.UJ_JTAG/BUFD_TDI/Primitives,34,0,0,0,0,0,0,0,0,0
